Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,161,22358.0,2020.0,1529.0,3029.0,346.0,1866.0,3356.0,10403.0,3338.0,31316.0,111826.0
,,,,,,,,162,23116.0,2016.0,1526.0,3024.0,346.0,1862.0,3353.0,10511.0,3382.0,31906.0,112358.0
,,,,,,,,163,22169.0,1920.0,1454.0,2881.0,330.0,1774.0,3192.0,9964.0,3197.0,30228.0,106893.0
,,,,,,,,164,20361.0,1780.0,1348.0,2670.0,305.0,1646.0,2954.0,9131.0,2916.0,27570.0,98939.0
,,,,,,,,165,19475.0,1742.0,1319.0,2613.0,299.0,1611.0,2889.0,8888.0,2829.0,26722.0,94689.0
,,,,,,,,166,19133.0,1707.0,1292.0,2561.0,293.0,1580.0,2828.0,8637.0,2740.0,25465.0,90715.0
,,,,,,,,167,18027.0,1595.0,1207.0,2392.0,274.0,1477.0,2640.0,7964.0,2519.0,23062.0,83600.0
,,,,,,,,168,16202.0,1473.0,1116.0,2210.0,253.0,1364.0,2437.0,7248.0,2286.0,20894.0,76209.0
,,,,,,,,169,14378.0,1352.0,1023.0,2027.0,232.0,1251.0,2234.0,6560.0,2062.0,18921.0,69767.0
,,,,,,,,170,13052.0,1277.0,967.0,1916.0,219.0,1184.0,2109.0,6105.0,1911.0,17591.0,65135.0
,,,,,,,,171,12175.0,1224.0,926.0,1835.0,210.0,1134.0,2018.0,5776.0,1802.0,16654.0,62108.0
,,,,,,,,172,11689.0,1198.0,907.0,1796.0,205.0,1110.0,1975.0,5617.0,1749.0,16200.0,60522.0
,,,,,,,,173,11371.0,1191.0,902.0,1788.0,204.0,1105.0,1964.0,5564.0,1729.0,16088.0,60248.0
,,,,,,,,174,11539.0,1236.0,936.0,1855.0,212.0,1146.0,2038.0,5786.0,1798.0,16851.0,62919.0
,,,,,,,,175,12370.0,1326.0,1004.0,1989.0,227.0,1228.0,2190.0,6333.0,1983.0,18197.0,67429.0
,,,,,,,,176,13849.0,1468.0,1111.0,2202.0,252.0,1359.0,2427.0,7137.0,2248.0,20265.0,72984.0
,,,,,,,,177,15391.0,1595.0,1207.0,2393.0,274.0,1477.0,2639.0,7819.0,2469.0,22046.0,79087.0
,,,,,,,,178,16588.0,1697.0,1285.0,2545.0,291.0,1571.0,2808.0,8360.0,2643.0,23696.0,84675.0
,,,,,,,,179,17880.0,1798.0,1362.0,2697.0,308.0,1664.0,2979.0,8947.0,2839.0,25659.0,90724.0
,,,,,,,,180,19265.0,1900.0,1438.0,2850.0,326.0,1758.0,3149.0,9504.0,3020.0,27703.0,96932.0
,,,,,,,,181,20350.0,1968.0,1490.0,2952.0,338.0,1820.0,3263.0,9899.0,3152.0,29147.0,101837.0
,,,,,,,,182,20931.0,2003.0,1517.0,3005.0,344.0,1853.0,3324.0,10116.0,3225.0,30024.0,105149.0
,,,,,,,,183,21619.0,2035.0,1541.0,3052.0,349.0,1881.0,3377.0,10331.0,3300.0,30764.0,107442.0
,,,,,,,,184,22606.0,2077.0,1573.0,3115.0,357.0,1919.0,3450.0,10652.0,3414.0,31626.0,110048.0
,,,,,,,,185,23512.0,2108.0,1596.0,3162.0,363.0,1948.0,3506.0,10934.0,3515.0,32257.0,112468.0
,,,,,,,,186,24032.0,2098.0,1588.0,3146.0,361.0,1938.0,3491.0,11012.0,3552.0,32122.0,112696.0
,,,,,,,,187,22926.0,1974.0,1495.0,2960.0,339.0,1823.0,3282.0,10305.0,3314.0,29779.0,106733.0
,,,,,,,,188,20920.0,1830.0,1385.0,2744.0,314.0,1691.0,3038.0,9442.0,3022.0,27219.0,98694.0
,,,,,,,,189,19987.0,1783.0,1351.0,2675.0,306.0,1649.0,2959.0,9148.0,2918.0,26479.0,94701.0
,,,,,,,,190,19621.0,1738.0,1316.0,2607.0,299.0,1607.0,2882.0,8846.0,2814.0,25301.0,91262.0
,,,,,,,,191,18608.0,1629.0,1233.0,2443.0,280.0,1507.0,2698.0,8190.0,2597.0,23271.0,84577.0
,,,,,,,,192,16954.0,1514.0,1146.0,2271.0,260.0,1401.0,2506.0,7504.0,2373.0,21120.0,77890.0
,,,,,,,,193,10034.0,975.0,738.0,1462.0,167.0,904.0,1607.0,4692.0,1458.0,13196.0,54268.0
,,,,,,,,194,8938.0,908.0,687.0,1361.0,156.0,842.0,1494.0,4268.0,1317.0,12099.0,50388.0
,,,,,,,,195,8387.0,870.0,660.0,1307.0,149.0,808.0,1434.0,4091.0,1262.0,11611.0,48091.0
,,,,,,,,196,8017.0,849.0,642.0,1272.0,145.0,787.0,1395.0,3981.0,1227.0,11274.0,46692.0
,,,,,,,,197,7771.0,835.0,632.0,1253.0,143.0,775.0,1374.0,3907.0,1203.0,11055.0,45666.0
,,,,,,,,198,7779.0,834.0,632.0,1251.0,142.0,774.0,1373.0,3908.0,1205.0,11097.0,45850.0
,,,,,,,,199,7821.0,840.0,636.0,1260.0,144.0,779.0,1384.0,3991.0,1235.0,11187.0,45847.0
,,,,,,,,200,8200.0,895.0,678.0,1343.0,154.0,829.0,1477.0,4357.0,1357.0,11987.0,48400.0
,,,,,,,,201,9162.0,980.0,742.0,1470.0,168.0,909.0,1618.0,4815.0,1503.0,13103.0,53333.0
,,,,,,,,202,10472.0,1070.0,810.0,1605.0,183.0,992.0,1767.0,5325.0,1667.0,14356.0,58920.0
,,,,,,,,203,11553.0,1144.0,867.0,1717.0,196.0,1060.0,1891.0,5722.0,1793.0,15394.0,63588.0
,,,,,,,,204,12341.0,1204.0,912.0,1805.0,206.0,1115.0,1989.0,6056.0,1902.0,16212.0,67762.0
,,,,,,,,205,13052.0,1253.0,949.0,1879.0,215.0,1160.0,2072.0,6343.0,1997.0,17026.0,71697.0
,,,,,,,,206,13266.0,1268.0,959.0,1901.0,218.0,1173.0,2097.0,6427.0,2026.0,17319.0,73767.0
,,,,,,,,207,13368.0,1278.0,968.0,1918.0,220.0,1184.0,2115.0,6486.0,2045.0,17626.0,75591.0
